"Peace is not absence of war, it is a virtue, a state of mind, a disposition for benevolence, confidence, justice."       -  Mahatma Gandhi
"Peace is the only way."       - Martin Luther King Jr.
"Peace is not the absence of conflict, it is the ability to cope with conflict through peaceful means."       - Ronald Reagan
"Peace is not a relationship of nations. It is a condition of mind brought about by a serenity of soul."       - Peace Pilgrim
"Peace is a daily, a personal, and a never-ending process."       - Mahatma Gandhi
"Peace is not something you wish for; it is something you make, something you do, something you are, something you give away."       - Robert Fulghum
"Peace is the way of love, the way of compassion, the way of understanding."       - Dalai Lama
"Peace is not merely the absence of war, it is the presence of justice."       - Baruch Spinoza
"Peace is not an absence of conflict, it is the ability to cope with conflict through peaceful means."       - Ronald Reagan
"Peace is a journey of a thousand miles and the first step is to forgive yourself."       - Louis L'Amour
"Peace is the greatest gift of life."       - Lao Tzu
"Peace cannot be achieved through violence, it can only be attained through understanding."       - Mahatma Gandhi
"War is not the answer. Peace is the answer."       - John Lennon
"Peace begins with a smile."       - Mother Teresa
"Peace is when the mind is still."       - Lao Tzu
"Peace is the absence of fear."       - Elie Wiesel
"Peace is not a matter of chance, it is a product of hard work."       - Ralph Bunche
"Peace is not something you wish for; it is something you make, something you do, something you are, something you give away."       - Robert Fulghum
"Peace is the way of heaven." - Confucius
"Peace is the victory of tolerance over intolerance, of understanding over ignorance, of love over hate."       - Napoleon Bonaparte
